bar number	length (inches)
650	28.0315112
557	42.2047472
570	32.677183
481	47.7953014
574	30.708678
366	43.4645904
586	30.5118275
534	60.0394025
513	49.5275858
678	28.5433225
524	42.519708
664	31.8110408
669	53.543336
571	49.0157745
438	43.5039605
164	37.7559259
158	30.6299378
219	38.2283671
68	46.456718
24	49.7244363
154	33.1102541
19	32.283482
2	46.7716788
241	30.3543471
34	43.0315193
79	45.275615
159	29.2126142
98	48.2677426
17	34.2126169
111	29.6063152
234	32.3622222
21	29.9606461
31	27.4803298
7	37.4803352
243	47.0078994
109	44.2519924
112	31.6141903
114	41.2992349
249	32.283482
20	29.0945039
170	38.6220681
250	32.2441119
131	26.8504082
399	29.1732441
147	31.5748202
237	32.2441119
161	29.2126142
122	47.4803406
231	50.3149878
266	27.5196999
210	48.9370343
230	37.3228548
139	30.8661584
214	32.0866315
426	30.9055285
334	33.5826953
415	27.2047391
213	32.0866315
371	29.8819059
218	30.2756069
258	32.2441119
259	32.5197026
229	29.6063152
276	27.55907
262	31.1811192
177	45.3543552
441	26.4173371
261	31.2992295
341	31.102379
464	26.5354474
342	29.7244255
344	27.5984401
313	33.0315139
189	44.0157718
337	45.6299459
451	32.8346634
302	51.6142011
447	32.8346634
405	46.1023871
422	30.4330873
246	48.3464828
211	46.1417572
301	28.9370235
167	43.6614409
396	46.7716788
283	35.6693106
409	31.0236388
450	31.2204893
270	30.0393863
291	43.700811
403	31.2598594
255	50.4330981
410	31.0630089
233	44.9606542
123	49.212625
305	33.070884
453	32.2047418
475	34.2126169
325	30.9448986
479	41.2598648
227	35.5512003
478	32.0866315
476	29.0551338
47	30.1574966
459	31.4173398
537	34.9606488
346	41.6535658
510	37.1260043
623	31.6535604
223	38.8582887
565	25.984266
385	44.094512
232	43.1102595
603	30.0393863
343	30.8661584
391	29.2913544
398	29.921276
613	28.3858421
369	30.5511976
413	31.2204893
356	39.1338794
424	31.7323006
523	28.6614328
333	33.0315139
307	32.8740335
254	29.0551338
126	34.251987
404	35.1181292
69	49.8031765
295	31.7323006
257	43.1889997
309	32.7559232
228	43.6614409
212	41.4173452
439	27.4015896
423	30.5118275
178	47.1653798
355	45.1181346
297	32.1653717
268	40.7480535
340	42.2834874
463	30.3937172
364	37.0472641
320	33.2283644
299	32.7559232
256	48.0708921
620	32.5197026
244	42.4015977
347	28.7008029
310	31.2598594
294	31.9291511
392	26.8504082
542	44.4488429
157	44.9606542
332	32.4015923
495	43.1889997
539	29.4882049
621	32.9921438
274	31.2204893
273	32.9527737
181	34.0945066
560	31.6929305
649	32.5590727
640	37.3228548
648	31.3385996
598	31.3385996
467	55.2362503
658	39.5275804
549	47.2047499
458	47.1653798
641	52.9527845
